country,harvest_group,crop_year,crop_year_beg,crop_year_end,consumption_1k_bags,consumption_kg,consumption_lb
Nigeria,October,1994/95,1994,1995,40.0,2400000.0,5291094.29244
Panama,October,1994/95,1994,1995,76.667,4600020.0,10141308.152962437
Sierra Leone,October,1994/95,1994,1995,5.0,300000.0,661386.786555
Sri Lanka,October,1994/95,1994,1995,20.0,1200000.0,2645547.14622
Thailand,October,1994/95,1994,1995,283.0,16980000.0,37434492.119013004
Togo,October,1994/95,1994,1995,1.0,60000.0,132277.357311
Trinidad & Tobago,October,1994/95,1994,1995,14.0,840000.0,1851883.002354
Uganda,October,1994/95,1994,1995,80.0,4800000.0,10582188.58488
Venezuela,October,1994/95,1994,1995,923.4,55404000.0,122144911.7409774
Viet Nam,October,1994/95,1994,1995,267.0,16020000.0,35318054.402037
Yemen,October,1994/95,1994,1995,0.0,0.0,0.0
Angola,April,1995/96,1995,1996,10.0,600000.0,1322773.57311
Bolivia (Plurinational State of),April,1995/96,1995,1996,30.5,1830000.0,4034459.3979855
Brazil,April,1995/96,1995,1996,10100.0,606000000.0,1336001308.8411
Burundi,April,1995/96,1995,1996,2.0,120000.0,264554.714622
Ecuador,April,1995/96,1995,1996,350.0,21000000.0,46297075.05885
Indonesia,April,1995/96,1995,1996,1443.0,86580000.0,190876226.599773
Madagascar,April,1995/96,1995,1996,167.0,10020000.0,22090318.670937
Malawi,April,1995/96,1995,1996,2.0,120000.0,264554.714622
Papua New Guinea,April,1995/96,1995,1996,2.0,120000.0,264554.714622
Paraguay,April,1995/96,1995,1996,20.0,1200000.0,2645547.14622
Peru,April,1995/96,1995,1996,200.0,12000000.0,26455471.4622
Rwanda,April,1995/96,1995,1996,1.0,60000.0,132277.357311
Timor-Leste,April,1995/96,1995,1996,0.0,0.0,0.0
Zimbabwe,April,1995/96,1995,1996,6.6,396000.0,873030.5582526
Congo,July,1995/96,1995,1996,3.0,180000.0,396832.071933
Cuba,July,1995/96,1995,1996,194.0,11640000.0,25661807.318334002
Dominican Republic,July,1995/96,1995,1996,350.0,21000000.0,46297075.05885
Haiti,July,1995/96,1995,1996,330.0,19800000.0,43651527.91263
Philippines,July,1995/96,1995,1996,810.0,48600000.0,107144659.42191
Tanzania,July,1995/96,1995,1996,13.6,816000.0,1798972.0594296
Zambia,July,1995/96,1995,1996,0.6,36000.0,79366.4143866
Cameroon,October,1995/96,1995,1996,100.0,6000000.0,13227735.7311
Central African Republic,October,1995/96,1995,1996,10.0,600000.0,1322773.57311
Colombia,October,1995/96,1995,1996,1359.0,81540000.0,179764928.585649
Costa Rica,October,1995/96,1995,1996,375.0,22500000.0,49604008.991625
Côte d'Ivoire,October,1995/96,1995,1996,50.0,3000000.0,6613867.86555
Democratic Republic of Congo,October,1995/96,1995,1996,200.0,12000000.0,26455471.4622
El Salvador,October,1995/96,1995,1996,270.0,16200000.0,35714886.47397
Equatorial Guinea,October,1995/96,1995,1996,0.0,0.0,0.0
Ethiopia,October,1995/96,1995,1996,1555.0,93300000.0,205691290.618605
Gabon,October,1995/96,1995,1996,0.8,48000.0,105821.8858488
Ghana,October,1995/96,1995,1996,28.0,1680000.0,3703766.004708
Guatemala,October,1995/96,1995,1996,310.0,18600000.0,41005980.76641
Guinea,October,1995/96,1995,1996,50.0,3000000.0,6613867.86555
Guyana,October,1995/96,1995,1996,0.0,0.0,0.0
Honduras,October,1995/96,1995,1996,161.0,9660000.0,21296654.527071
India,October,1995/96,1995,1996,837.0,50220000.0,110716148.069307
Jamaica,October,1995/96,1995,1996,15.0,900000.0,1984160.359665
Kenya,October,1995/96,1995,1996,50.0,3000000.0,6613867.86555
Lao People's Democratic Republic,October,1995/96,1995,1996,0.0,0.0,0.0
Liberia,October,1995/96,1995,1996,5.0,300000.0,661386.786555
Mexico,October,1995/96,1995,1996,1179.0,70740000.0,155955004.269669
Nepal,October,1995/96,1995,1996,0.0,0.0,0.0
Nicaragua,October,1995/96,1995,1996,111.5,6690000.0,14748925.3401765
Nigeria,October,1995/96,1995,1996,40.0,2400000.0,5291094.29244
Panama,October,1995/96,1995,1996,76.667,4600020.0,10141308.152962437
Sierra Leone,October,1995/96,1995,1996,8.0,480000.0,1058218.858488
Sri Lanka,October,1995/96,1995,1996,20.0,1200000.0,2645547.14622
Thailand,October,1995/96,1995,1996,417.0,25020000.0,55159657.998687
Togo,October,1995/96,1995,1996,1.0,60000.0,132277.357311
Trinidad & Tobago,October,1995/96,1995,1996,14.0,840000.0,1851883.002354
Uganda,October,1995/96,1995,1996,80.0,4800000.0,10582188.58488
Venezuela,October,1995/96,1995,1996,962.46,57747600.0,127311665.31754506
Viet Nam,October,1995/96,1995,1996,281.845,16910700.0,37281711.77131879
Yemen,October,1995/96,1995,1996,0.0,0.0,0.0
Angola,April,1996/97,1996,1997,20.0,1200000.0,2645547.14622
Bolivia (Plurinational State of),April,1996/97,1996,1997,31.5,1890000.0,4166736.7552965
Brazil,April,1996/97,1996,1997,11000.0,660000000.0,1455050930.421
Burundi,April,1996/97,1996,1997,2.0,120000.0,264554.714622
Ecuador,April,1996/97,1996,1997,300.0,18000000.0,39683207.1933
Indonesia,April,1996/97,1996,1997,1486.0,89160000.0,196564152.964146
Madagascar,April,1996/97,1996,1997,167.0,10020000.0,22090318.670937
Malawi,April,1996/97,1996,1997,2.0,120000.0,264554.714622
Papua New Guinea,April,1996/97,1996,1997,2.0,120000.0,264554.714622
Paraguay,April,1996/97,1996,1997,20.0,1200000.0,2645547.14622
Peru,April,1996/97,1996,1997,200.0,12000000.0,26455471.4622
Rwanda,April,1996/97,1996,1997,1.0,60000.0,132277.357311
Timor-Leste,April,1996/97,1996,1997,0.0,0.0,0.0
Zimbabwe,April,1996/97,1996,1997,4.0,240000.0,529109.429244
