region,country,ico_member,calendar_year,re_exports_1k_bags,re_exports_kg,re_exports_lb
Europe,Latvia,member,1999.0,17.1657799,1029946.7940000001,2270644.0013542823
Europe,Lithuania,member,1999.0,47.8456651,2870739.906,6328898.138215142
Europe,Luxembourg,member,1999.0,83.8508033,5031048.198,11091562.668928478
Europe,Malta,member,1999.0,0.2607967,15647.802,34497.49827142967
Europe,Netherlands,member,1999.0,1094.255405,65655324.300000004,144745213.196678
Europe,Poland,member,1999.0,418.3298839,25099793.034,55335571.52650945
Europe,Portugal,member,1999.0,99.0452032,5942712.192,13101437.733627
Europe,Romania,member,1999.0,4.5496003,272976.018,601809.1045053328
Europe,Slovakia,member,1999.0,19.9572949,1197437.6940000001,2639898.2284482983
Europe,Slovenia,member,1999.0,10.9717823,658306.938,1451318.3676356054
Europe,Spain,member,1999.0,638.993809,38339628.54,84524412.39260988
Europe,Sweden,member,1999.0,176.4555049,10587330.294,23341067.87115021
Asia & Oceania,Japan,member,1999.0,7.5829994,454979.96400000004,1003059.1211228987
Europe,Norway,member,1999.0,4.8040003,288240.01800000004,635460.4642052513
Europe,Russian Federation,member,1999.0,16.3667325,982003.9500000001,2164948.1229160563
Europe,Switzerland,member,1999.0,302.2209998,18133259.987999998,39976995.177432254
Africa,Tunisia,member,1999.0,0.342883,20572.98,45355.65710686761
Europe,United Kingdom,member,1999.0,645.4906997,38729441.982,85383803.9251443
North America,United States of America,member,1999.0,2168.0046448,130080278.688,286777925.0521172
Europe,Austria,member,2000.0,408.5016134,24510096.803999998,54035513.87783178
Europe,Belgium,member,2000.0,2357.2550194,141435301.164,311811464.474322
Europe,Bulgaria,member,2000.0,5.6421993,338531.958,746335.2128259741
Europe,Croatia,member,2000.0,17.2580008,1035480.0480000001,2282842.738295124
Europe,Cyprus,member,2000.0,0.741,44460.0,98017.521767451
Europe,Czechia,member,2000.0,248.7159804,14922958.824000001,32899492.608326476
Europe,Denmark,member,2000.0,231.1543072,13869258.432,30576480.88747106
Europe,Estonia,member,2000.0,7.9660004,477960.02400000003,1053721.481250369
Europe,Finland,member,2000.0,171.8920053,10313520.318,22737420.203972407
Europe,France,member,2000.0,1073.3612351,64401674.106,141981387.61909896
Europe,Germany,member,2000.0,4824.6588647,289479531.88199997,638193124.5496055
Europe,Greece,member,2000.0,110.9501983,6657011.898,14676199.024255404
Europe,Hungary,member,2000.0,157.2694952,9436169.712000001,20803193.210691
Europe,Ireland,member,2000.0,71.5299916,4291799.496,9461798.25732603
Europe,Italy,member,2000.0,1155.6383446,69338300.676,152864786.23094675
Europe,Latvia,member,2000.0,19.2568618,1155411.7079999999,2547246.7890071464
Europe,Lithuania,member,2000.0,39.4188221,2365129.326,5214217.615700443
Europe,Luxembourg,member,2000.0,87.6100429,5256602.574,11588824.948715338
Europe,Malta,member,2000.0,0.3913898,23483.388000000003,51772.00842248083
Europe,Netherlands,member,2000.0,1106.0290964,66361745.78400001,146302605.9808653
Europe,Poland,member,2000.0,530.7890714,31847344.284,70211375.6543517
Europe,Portugal,member,2000.0,123.0388035,7382328.21,16275247.773687417
Europe,Romania,member,2000.0,0.531,31860.0,70239.276732141
Europe,Slovakia,member,2000.0,22.6496119,1358976.714,2996030.8062517773
Europe,Slovenia,member,2000.0,14.1088945,846533.67,1866287.2790397028
Europe,Spain,member,2000.0,752.8379484,45170276.904,99583414.29778698
Europe,Sweden,member,2000.0,171.0784059,10264704.354,22629799.425430592
Asia & Oceania,Japan,member,2000.0,32.3489958,1940939.748,4279039.676088638
Europe,Norway,member,2000.0,5.037,302220.0,666281.048775507
Europe,Russian Federation,member,2000.0,27.3560983,1641365.8979999998,3618592.3894639392
Europe,Switzerland,member,2000.0,312.5529689,18753178.134,41343680.74579917
Africa,Tunisia,member,2000.0,0.7069982,42419.892,93519.85351963383
Europe,United Kingdom,member,2000.0,652.1182302,39127093.812,86260476.14518236
North America,United States of America,member,2000.0,2055.2756371,123316538.226,271866429.82126987
Europe,Austria,member,2001.0,439.7496145,26384976.87,58168916.884591006
Europe,Belgium,member,2001.0,2324.3939131,139463634.786,307464684.1746422
Europe,Bulgaria,member,2001.0,4.5053997,270323.982,595962.3659457723
Europe,Croatia,member,2001.0,15.3210006,919260.036,2026621.4707282453
Europe,Cyprus,member,2001.0,4.1554,249324.00000000003,549665.3305701294
Europe,Czechia,member,2001.0,266.2019675,15972118.05,35212492.77188871
Europe,Denmark,member,2001.0,234.5622067,14073732.401999999,31027268.827312537
Europe,Estonia,member,2001.0,53.9859983,3239159.898,7141125.186920139
Europe,Finland,member,2001.0,147.6300032,8857800.192,19528106.68311047
Europe,France,member,2001.0,1266.5910165,75995460.99,167541312.45647317
Europe,Germany,member,2001.0,5343.9378465,320636270.79,706881975.9692564
Europe,Greece,member,2001.0,319.7920971,19187525.825999998,42301253.4933307
Europe,Hungary,member,2001.0,186.2811936,11176871.616,24640784.006146766
