country,harvest_group,crop_year,crop_year_beg,crop_year_end,openstock_1k_bags,openstock_kg,openstock_lb
Trinidad & Tobago,October,1995/96,1995,1996,0.0,0.0,0.0
Uganda,October,1995/96,1995,1996,2520.0,151200000.0,333338940.42372
Venezuela,October,1995/96,1995,1996,250.0,15000000.0,33069339.32775
Viet Nam,October,1995/96,1995,1996,158.0,9480000.0,20899822.455138
Yemen,October,1995/96,1995,1996,0.0,0.0,0.0
Angola,April,1996/97,1996,1997,140.0,8400000.0,18518830.02354
Bolivia (Plurinational State of),April,1996/97,1996,1997,14.0,840000.0,1851883.002354
Brazil,April,1996/97,1996,1997,26361.0,1581660000.0,3486963416.075271
Burundi,April,1996/97,1996,1997,88.5,5310000.0,11706546.1220235
Ecuador,April,1996/97,1996,1997,200.0,12000000.0,26455471.4622
Indonesia,April,1996/97,1996,1997,166.667,10000020.0,22046270.310952436
Madagascar,April,1996/97,1996,1997,2.033,121980.0,268919.867413263
Malawi,April,1996/97,1996,1997,13.0,780000.0,1719605.645043
Papua New Guinea,April,1996/97,1996,1997,40.0,2400000.0,5291094.29244
Paraguay,April,1996/97,1996,1997,55.0,3300000.0,7275254.652105
Peru,April,1996/97,1996,1997,0.0,0.0,0.0
Rwanda,April,1996/97,1996,1997,10.679,640740.0,1412589.898724169
Timor-Leste,April,1996/97,1996,1997,0.0,0.0,0.0
Zimbabwe,April,1996/97,1996,1997,9.594,575640.0,1269068.966041734
Congo,July,1996/97,1996,1997,0.0,0.0,0.0
Cuba,July,1996/97,1996,1997,84.1,5046000.0,11124525.7498551
Dominican Republic,July,1996/97,1996,1997,180.0,10800000.0,23809924.31598
Haiti,July,1996/97,1996,1997,39.236,2354160.0,5190034.391454396
Philippines,July,1996/97,1996,1997,1117.0,67020000.0,147753808.116387
Tanzania,July,1996/97,1996,1997,35.4,2124000.0,4682618.4488094
Zambia,July,1996/97,1996,1997,0.0,0.0,0.0
Cameroon,October,1996/97,1996,1997,175.0,10500000.0,23148537.529425
Central African Republic,October,1996/97,1996,1997,9.0,540000.0,1190496.215799
Colombia,October,1996/97,1996,1997,5468.495,328109700.0,723358067.068417
Costa Rica,October,1996/97,1996,1997,297.0,17820000.0,39286375.121367
Côte d'Ivoire,October,1996/97,1996,1997,469.0,28140000.0,62038080.578859
Democratic Republic of Congo,October,1996/97,1996,1997,84.57,5074200.0,11186696.10779127
El Salvador,October,1996/97,1996,1997,663.044,39782640.0,87705708.10091469
Equatorial Guinea,October,1996/97,1996,1997,0.0,0.0,0.0
Ethiopia,October,1996/97,1996,1997,4018.0,241080000.0,531490421.675598
Gabon,October,1996/97,1996,1997,0.992,59520.0,131219.138452512
Ghana,October,1996/97,1996,1997,36.0,2160000.0,4761984.863196
Guatemala,October,1996/97,1996,1997,131.661,7899660.0,17415769.14092357
Guinea,October,1996/97,1996,1997,12.0,720000.0,1587328.287732
Guyana,October,1996/97,1996,1997,0.0,0.0,0.0
Honduras,October,1996/97,1996,1997,23.0,1380000.0,3042379.218153
India,October,1996/97,1996,1997,917.0,55020000.0,121298336.654187
Jamaica,October,1996/97,1996,1997,15.0,900000.0,1984160.359665
Kenya,October,1996/97,1996,1997,295.574,17734440.0,39097747.60984151
Lao People's Democratic Republic,October,1996/97,1996,1997,0.0,0.0,0.0
Liberia,October,1996/97,1996,1997,0.0,0.0,0.0
Mexico,October,1996/97,1996,1997,524.0,31440000.0,69313335.230964
Nepal,October,1996/97,1996,1997,0.0,0.0,0.0
Nicaragua,October,1996/97,1996,1997,16.374,982439.9999999999,2165909.4486103137
Nigeria,October,1996/97,1996,1997,0.0,0.0,0.0
Panama,October,1996/97,1996,1997,31.353,1881180.0,4147291.983771783
Sierra Leone,October,1996/97,1996,1997,0.0,0.0,0.0
Sri Lanka,October,1996/97,1996,1997,4.0,240000.0,529109.429244
Thailand,October,1996/97,1996,1997,87.133,5227980.0,11525722.974579362
Togo,October,1996/97,1996,1997,0.533,31980.0,70503.831446763
Trinidad & Tobago,October,1996/97,1996,1997,0.0,0.0,0.0
Uganda,October,1996/97,1996,1997,1470.0,88200000.0,194447715.24717
Venezuela,October,1996/97,1996,1997,300.0,18000000.0,39683207.1933
Viet Nam,October,1996/97,1996,1997,167.0,10020000.0,22090318.670937
Yemen,October,1996/97,1996,1997,0.0,0.0,0.0
Angola,April,1997/98,1997,1998,140.0,8400000.0,18518830.02354
