country,calendar_year,exports_1k_bags,exports_kg,exports_lb,population_boy,population_mid
Congo,1995.0,19.149,1148940.0,2532979.115148339,2704958.0,2742309.0
Costa Rica,1995.0,2067.0109998,124020659.98799999,273418752.58631194,3531071.0,3572856.0
Côte d'Ivoire,1995.0,2493.9459999,149636759.99400002,329892586.1431115,14047083.0,14299726.0
Cuba,1995.0,122.287,7337220.0,16175801.193490257,10907941.0,10926703.0
Democratic Republic of Congo,1995.0,1051.39,63083400.0,139075090.7032123,42740354.0,43285792.0
Dominican Republic,1995.0,451.0180003,27061080.018,59659469.179375805,7797508.0,7869753.0
Ecuador,1995.0,1539.9739994,92398439.96399999,203703690.96828347,11454815.0,11561682.0
El Salvador,1995.0,1807.4980001,108449880.00599998,239091058.79814556,5722720.0,5748196.0
Equatorial Guinea,1995.0,3.385,203100.0,447758.854497735,550106.0,560740.0
Ethiopia,1995.0,1276.118,76567080.0,168801516.6569987,56547446.0,57476536.0
Gabon,1995.0,2.946,176760.0,389689.094638206,1107738.0,1121964.0
Ghana,1995.0,38.152,2289120.0,5046645.736129272,17237582.0,17438874.0
Guatemala,1995.0,3700.8720009,222052320.054,489541568.0253248,10228973.0,10363090.0
Guinea,1995.0,151.5520001,9093120.006,20046898.068424407,7357428.0,7468347.0
Guyana,1995.0,0.0259992,1559.9520000000002,3439.105468200152,750685.0,751689.0
Haiti,1995.0,151.788,9107280.0,20078115.51152207,7556110.0,7627316.0
Honduras,1995.0,1795.963,107757780.0,237565239.4683355,5731951.0,5812832.0
India,1995.0,2467.2570006,148035420.03599998,326362235.8464323,954785495.0,964279129.0
Indonesia,1995.0,3946.5850006,236795100.03599998,522043834.28259933,196527503.0,198140162.0
Jamaica,1995.0,26.3230003,1579380.018,3481936.91618066,2496832.0,2509372.0
Kenya,1995.0,1450.0460001,87002760.00599998,191808252.872614,26511748.0,26878347.0
Lao People's Democratic Republic,1995.0,165.2329992,9913979.952,21856584.474746577,4868438.0,4927432.0
Liberia,1995.0,0.0,0.0,0.0,2089393.9999999998,2142422.0
Madagascar,1995.0,585.1879998,35111279.988,77407122.14365399,13648398.0,13869138.0
Malawi,1995.0,91.633,5497980.0,12120971.082478862,10014128.0,10112816.0
Mexico,1995.0,3626.4919986,217589519.916,479702777.88429475,89155152.0,89969572.0
Nepal,1995.0,0.25,15000.0,33069.33932775,22063395.0,22305571.0
Nicaragua,1995.0,681.1789992,40870739.95200001,90104557.8699278,4674130.0,4721929.0
Nigeria,1995.0,15.191,911460.0,2009425.334911401,106819805.0,108187610.0
Panama,1995.0,180.533,10831980.0,23880428.14742676,2688520.0,2716067.0
Papua New Guinea,1995.0,1002.0520002,60123120.012,132548790.47465765,4532935.0,4616438.0
Paraguay,1995.0,20.59553,1235731.7999999998,2724322.2808194193,4549797.0,4603917.0
Peru,1995.0,1760.467,105628020.0,232869922.39322424,24220060.0,24449055.0
Philippines,1995.0,57.3240006,3439440.036,7582667.309862178,68442173.0,69250468.0
Rwanda,1995.0,313.899,18833940.0,41521730.18256559,5408816.0,5686897.0
Sierra Leone,1995.0,71.475,4288500.0,9454524.113803726,4328629.0,4324149.0
Sri Lanka,1995.0,21.896,1313760.0,2896345.015681656,18100249.0,18177572.0
Tanzania,1995.0,744.6529993,44679179.958000004,98500730.86111395,30184795.0,30560071.0
Thailand,1995.0,1209.5229999,72571379.99400002,159992506.03364494,59029227.0,59424834.0
Timor-Leste,1995.0,0.0,0.0,0.0,813175.0,819226.0
Togo,1995.0,200.316,12018960.0,26497271.107110277,4193089.0,4279566.0
Trinidad & Tobago,1995.0,4.0599984,243599.90399999998,537045.8590388882,1304794.0,1307822.0
